"SrNo","StationID","Date_from","Date_to","ECR"
"116","73","2021-02-01","2021-02-28","6.077"
"117","72","2021-02-01","2021-02-28","12.448"
"118","94","2021-02-01","2021-02-28","1.896"
"119","99","2021-02-01","2021-02-28","1.600"
"120","102","2021-02-01","2021-02-28","5.523"
"121","101","2021-02-01","2021-02-28","1.604"
"122","150","2021-02-01","2021-02-28","0.000"
"123","153","2021-02-01","2021-02-28","0.000"
"124","154","2021-02-01","2021-02-28","16.094"
"125","152","2021-02-01","2021-02-28","1.612"
"126","311","2021-02-01","2021-02-28","6.685"
"127","35","2021-03-01","2021-03-31","2.546"
"128","34","2021-03-01","2021-03-31","2.674"
"129","43","2021-03-01","2021-03-31","2.924"
"130","74","2021-03-01","2021-03-31","2.929"
"131","75","2021-03-01","2021-03-31","2.996"
"132","77","2021-03-01","2021-03-31","1.116"
"133","96","2021-03-01","2021-03-31","2.633"
"134","97","2021-03-01","2021-03-31","2.584"
"135","98","2021-03-01","2021-03-31","2.480"
"136","161","2021-03-01","2021-03-31","2.200"
"137","162","2021-03-01","2021-03-31","2.086"
"138","159","2021-03-01","2021-03-31","2.614"
"139","189","2021-03-01","2021-03-31","1.393"
"140","190","2021-03-01","2021-03-31","1.364"
"141","191","2021-03-01","2021-03-31","3.326"
"142","198","2021-03-01","2021-03-31","2.046"
"143","223","2021-03-01","2021-03-31","2.642"
"144","224","2021-03-01","2021-03-31","2.945"
"145","323","2021-03-01","2021-03-31","2.451"
"146","324","2021-03-01","2021-03-31","2.415"
"147","316","2021-03-01","2021-03-31","1.382"
"148","317","2021-03-01","2021-03-31","1.379"
"149","318","2021-03-01","2021-03-31","1.361"
"150","339","2021-03-01","2021-03-31","2.787"
"151","340","2021-03-01","2021-03-31","2.753"
"152","343","2021-03-01","2021-03-31","1.414"
"153","345","2021-03-01","2021-03-31","1.389"
"154","346","2021-03-01","2021-03-31","1.432"
"155","350","2021-03-01","2021-03-31","3.021"
"156","391","2021-03-01","2021-03-31","2.039"
"157","370","2021-03-01","2021-03-31","2.034"
"158","368","2021-03-01","2021-03-31","1.832"
"159","374","2021-03-01","2021-03-31","2.546"
"160","404","2021-03-01","2021-03-31","2.932"
"161","405","2021-03-01","2021-03-31","2.958"
"162","406","2021-03-01","2021-03-31","2.932"
"163","407","2021-03-01","2021-03-31","2.763"
"164","426","2021-03-01","2021-03-31","1.640"
"165","427","2021-03-01","2021-03-31","1.580"
"166","428","2021-03-01","2021-03-31","1.571"
"167","429","2021-03-01","2021-03-31","1.548"
"168","430","2021-03-01","2021-03-31","1.595"
"169","135","2021-03-01","2021-03-31","3.171"
"170","418","2021-03-01","2021-03-31","2.830"
