"SrNo","StateID","StationID","VC","date_from","date_to"
"126","1","517","3.845","2021-01-01","2021-01-31"
"127","1","518","3.845","2021-01-01","2021-01-31"
"128","1","519","3.845","2021-01-01","2021-01-31"
"129","1","520","3.660","2021-01-01","2021-01-31"
"130","1","522","2.398","2021-01-01","2021-01-31"
"131","1","539","2.460","2021-01-01","2021-01-31"
"132","1","98","2.620","2020-12-01","2020-12-31"
"133","1","122","2.760","2020-12-01","2020-12-31"
"134","1","159","2.690","2020-12-01","2020-12-31"
"135","1","188","3.200","2020-12-01","2020-12-31"
"136","1","189","1.420","2020-12-01","2020-12-31"
"137","1","190","1.380","2020-12-01","2020-12-31"
"138","1","191","3.300","2020-12-01","2020-12-31"
"139","1","198","2.180","2020-12-01","2020-12-31"
"140","1","223","2.960","2020-12-01","2020-12-31"
"141","1","224","3.010","2020-12-01","2020-12-31"
"142","1","242","2.870","2020-12-01","2020-12-31"
"143","1","243","2.870","2020-12-01","2020-12-31"
"144","1","245","2.410","2020-12-01","2020-12-31"
"145","1","250","2.850","2020-12-01","2020-12-31"
"146","1","323","2.520","2020-12-01","2020-12-31"
"147","1","324","2.510","2020-12-01","2020-12-31"
"148","1","339","3.240","2020-12-01","2020-12-31"
"149","1","340","3.140","2020-12-01","2020-12-31"
"150","1","345","1.430","2020-12-01","2020-12-31"
"151","1","346","1.480","2020-12-01","2020-12-31"
"152","1","350","2.970","2020-12-01","2020-12-31"
"153","1","370","2.150","2020-12-01","2020-12-31"
"154","1","418","3.660","2020-12-01","2020-12-31"
"155","1","426","1.770","2020-12-01","2020-12-31"
"156","1","427","1.710","2020-12-01","2020-12-31"
"157","1","428","1.690","2020-12-01","2020-12-31"
"158","1","429","1.670","2020-12-01","2020-12-31"
"159","1","430","1.720","2020-12-01","2020-12-31"
"160","1","512","2.380","2020-12-01","2020-12-31"
"161","1","513","3.340","2020-12-01","2020-12-31"
"162","1","514","3.340","2020-12-01","2020-12-31"
"163","1","515","3.340","2020-12-01","2020-12-31"
"164","1","516","3.150","2020-12-01","2020-12-31"
"165","1","517","3.860","2020-12-01","2020-12-31"
"166","1","518","3.860","2020-12-01","2020-12-31"
"167","1","519","3.860","2020-12-01","2020-12-31"
"168","1","520","3.660","2020-12-01","2020-12-31"
"169","1","521","3.140","2020-12-01","2020-12-31"
"170","1","522","2.520","2020-12-01","2020-12-31"
"171","5","14","2.720","2021-06-15",NULL
"172","5","15","10.190","2021-06-15",NULL
"173","5","16","7.890","2021-06-15",NULL
"174","5","22","2.890","2021-06-15",NULL
"175","5","23","10.240","2021-06-15",NULL
"176","5","24","9.650","2021-06-15",NULL
"177","5","45","3.460","2021-06-15",NULL
"178","5","61","1.140","2021-06-15",NULL
"179","5","62","1.010","2021-06-15",NULL
"180","5","63","2.120","2021-06-15",NULL
"181","5","71","3.030","2021-06-15",NULL
"182","5","72","9.770","2021-06-15",NULL
"183","5","73","8.470","2021-06-15",NULL
"184","5","75","2.970","2021-06-15",NULL
"185","5","80","3.460","2021-06-15",NULL
"186","5","85","1.220","2021-06-15",NULL
"187","5","91","2.750","2021-06-15",NULL
"188","5","135","3.220","2021-06-15",NULL
"189","5","162","2.280","2021-06-15",NULL
"190","5","170","2.490","2021-06-15",NULL
"191","5","180","1.960","2021-06-15",NULL
"192","5","216","2.599","2021-06-15",NULL
"193","5","235","2.970","2021-06-15",NULL
"194","5","240","1.190","2021-06-15",NULL
"195","5","281","2.740","2021-06-15",NULL
"196","5","286","3.460","2021-06-15",NULL
"197","5","300","1.610","2021-06-15",NULL
"198","5","304","3.350","2021-06-15",NULL
"199","5","305","3.920","2021-06-15",NULL
"200","5","316","1.310","2021-06-15",NULL
"201","5","317","1.320","2021-06-15",NULL
"202","5","318","1.340","2021-06-15",NULL
"203","5","328","0.610","2021-06-15",NULL
"204","5","336","2.160","2021-06-15",NULL
"205","5","343","1.310","2021-06-15",NULL
"206","5","372","4.200","2021-06-15",NULL
"207","5","374","2.660","2021-06-15",NULL
"208","5","379","2.660","2021-06-15",NULL
"209","5","404","2.510","2021-06-15",NULL
"210","5","405","2.510","2021-06-15",NULL
"211","5","406","2.510","2021-06-15",NULL
"212","5","407","3.050","2021-06-15",NULL
"213","5","413","0.820","2021-06-15",NULL
"214","5","414","2.410","2021-06-15",NULL
"215","5","14","2.720","2021-05-01","2021-06-14"
