"SrNo","StationName","Data_Src","display_name","Installed_cap_MW","Utility_type","Utility_subtype","Type","Subtype","Fuel","PSP_name","LTA_name","RLDC_name"
"47","BHIRA PSS ","PSP","BHIRA PSS ","0","0","Hydro","0","0",,,,
"48","BHIVPURI ","PSP","BHIVPURI ","0","0","Hydro","0","0",,,,
"49","Shalivahan Green Energy Ltd","PSP","Shalivahan Green Energy Ltd","20","0","RE","0",,,,,
"50","Bihar SUGAR_MILL","PSP","Bihar SUGAR_MILL","0","NULL","NULL","Others","Others","NULL",,,
"51","Bihar_SOLAR","PSP","Bihar_SOLAR","0","NULL","NULL","RE","MustRun","NULL",,,
"52","BIOMASS","PSP","BIOMASS","0","0","Others","0","0",,,,
"53","BOKARO_A","LTA","BOKARO_A","0","0","Others","0","0",,,,
"54","BRAHMAPURAM DGPP (DIESEL)","PSP","BRAHMAPURAM DGPP (DIESEL)","0","0","Others","0","0",,,,
"55","BRBCL","ISGS","BRBCL","0","CS","NTPC","0","0",,,,
"56","BSES (NAPTHA)","PSP","BSES (NAPTHA)","0","0","Others","0","0",,,,
"57","BSIUL","ISGS","BSIUL","180","0","Hydro","0","0",,,,
"58","BUDHIL","LTA","BUDHIL","0","NULL","NULL","Others","Others","NULL",,,
"59","BURLA HPS/HIRAKUD I ","PSP","BURLA HPS/HIRAKUD I ","276","0","Hydro","0","0",,,,
"60","CGPL","ISGS","CGPL Mundra UMPP","1","0","Thermal","0","0",,,,
"61","CHAMERA1","ISGS","CHAMERA1","540","0","Hydro","0","0",,,,
"62","CHAMERA2","ISGS","CHAMERA2","300","0","Hydro","0","0",,,,
"63","CHAMERA3","ISGS","CHAMERA3","231","0","Hydro","0","0",,,,
"64","CHANDRAPUR ","PSP","CHANDRAPUR ","0","0","Thermal","0","0",,,,
"65","CHHABRA TPS","PSP","CHHABRA TPS","0","0","Thermal","0","0",,,,
"66","CHIPLIMA HPS / HIRAKUD II ","PSP","CHIPLIMA HPS / HIRAKUD II ","72","0","Hydro","0","0",,,,
"67","CHUKHA","ISGS","CHUKHA","336","0","Hydro","0","0",,,,
"68","CO-GENERATION","PSP","CO-GENERATION","0","0","RE","0","0",,,,
"69","CTPS 7&8","LTA","CTPS 7&8","0","NULL","NULL","Thermal","Others","NULL",,,
"70","DADRI_CRF","ISGS","DADRI_CRF","830","CS","NTPC","0","0",,,,
"71","DADRI_GF","ISGS","DADRI_GF","830","CS","NTPC","0","0",,,,
"72","DADRI_LF","ISGS","DADRI_LF","830","CS","NTPC","0","0",,,,
"73","DADRI_RF","ISGS","DADRI_RF","830","CS","NTPC","0","0",,,,
"74","DADRIT","ISGS","DADRIT","840","CS","NTPC","0","0",,,,
"75","DADRT2","ISGS","DADRT2","980","CS","NTPC","0","0",,,,
"76","DAHANU ","PSP","DAHANU ","0","0","Thermal","0","0",,,,
"77","Darlipali_NTPC","ISGS","Darlipali_NTPC","800","CS","NTPC","0","0",,,,
"78","DBPL","LTA","DBPL","0","0","Thermal","0","0",,,,
"79","DCRTPP (YAMUNA NAGAR)","PSP","DCRTPP (YAMUNA NAGAR)","0","0","Thermal","0","0",,,,
"80","DEHAR","ISGS","DEHAR","990","0","Hydro","0","0",,,,
"81","DEHRI & OTHERS ","PSP","DEHRI & OTHERS ","0","NULL","NULL","Hydro","MustRun","NULL",,,
"82","Delhi GAS TURBINES","PSP","Delhi GAS TURBINES","0","0","Gas","0","0",,,,
"83","DGBP ","PSP","DGBP ","0","0","Gas","0","0",,,,
"84","DHARIWAL STU ","PSP","DHARIWAL STU ","300","STOA","Thermal","Coal","0",,,,
"85","DHAULIGNGA","ISGS","DHAULIGNGA","290","0","Hydro","0","0",,,,
"86","DHOLPUR GPS","PSP","DHOLPUR GPS","0","0","Gas","0","0",,,,
"87","Dikshi","PSP","Dikshi","0","NULL","NULL","Others","Others","NULL",,,
